Goblet_STEAP4+_n,Goblet_STEAP4+_l,Goblet_STEAP4+_p,Club_DHRS9+_n,Club_DHRS9+_l,Club_DHRS9+_p,iavEpi_n,iavEpi_l,iavEpi_p,Basal_SERPINE1+_n,Basal_SERPINE1+_l,Basal_SERPINE1+_p,Basal_SERPINE2+_n,Basal_SERPINE2+_l,Basal_SERPINE2+_p,Goblet_RARRES1+_n,Goblet_RARRES1+_l,Goblet_RARRES1+_p,iavAT2_lip_n,iavAT2_lip_l,iavAT2_lip_p,Basal_IGFBP6+_n,Basal_IGFBP6+_l,Basal_IGFBP6+_p,iavClub_SAA1+_n,iavClub_SAA1+_l,iavClub_SAA1+_p,SupraB_KRT16+_n,SupraB_KRT16+_l,SupraB_KRT16+_p
HLA-DRB1,3.3671672,0.0,STAT1,2.1926377,5.1639980404337945e-213,HLA-DRA,3.082902,2.076936483606892e-205,ISG15,4.2773323,0.0,ITGAV,4.5417447,0.0,EPHX1,1.940615,2.394442803998458e-112,MT-ND4L,0.8699991,9.63101822077772e-155,RPS15A,1.0635062,3.150731043670311e-187,LGALS3,0.91035616,8.375279558062987e-84,S100A11,0.65341735,1.819207640220568e-58
JUND,1.9060131,0.0,TMPRSS4,2.113307,6.375692773791708e-213,MTRNR2L12,1.0046722,3.129960467519511e-205,PFN1,1.477555,0.0,SERPINB5,4.496361,0.0,EPCAM,2.5239418,4.559151123235972e-111,BMPR2,2.465833,5.605262869049381e-154,CAV1,4.4205227,6.506093585351005e-185,MT-ND4L,0.7073584,1.441686382314688e-82,DSC3,3.987042,6.22855916975828e-58
HLA-DRA,3.6386976,0.0,GCNT3,3.0539656,7.439709710379969e-211,VAMP8,1.0106338,1.4892983969520703e-203,MSN,5.701202,0.0,IGFBP7,4.730602,0.0,MUC1,2.2893057,9.772102571035469e-111,MTRNR2L1,2.0346148,6.782732258435788e-145,FGFBP1,4.1566787,6.533279509112533e-185,RPS27A,0.69289047,3.690521011042851e-82,SPRR1B,5.481546,2.340153174841661e-57
ZFP36,2.5555804,0.0,TCN1,2.9530327,9.006068484597608e-206,RPS27,0.896172,1.3454565952522576e-199,MMP2,6.173029,0.0,SLC7A5,5.6403,0.0,CLINT1,1.8096745,4.270322125012429e-110,C2orf42,5.36319,2.3534995636997808e-144,RPS3A,1.0594026,1.7839817434417173e-184,IFIT2,2.7942405,2.431675244769913e-81,KRT16,5.215985,4.964948632967052e-57
RARRES1,3.991741,0.0,ERMP1,2.6055903,2.2078481939587467e-205,UBB,0.97438663,3.345660816603667e-198,FYB1,4.874382,0.0,ENO1,1.7932606,0.0,ASAH1,1.7023418,8.76306594138998e-109,MT-CO2,0.80106425,1.8058393192329975e-143,RPL7A,1.3135276,1.0113019507972724e-182,MT-ND4,0.57483184,3.598727902243412e-79,CCNA1,4.2908854,7.010387027974039e-57
ALDH1A1,3.3241148,0.0,A4GALT,2.533017,1.5379645268885854e-204,SCGB3A1,2.5200682,1.7743261233103988e-197,DDX58,3.9635491,0.0,TUBB6,4.9436746,0.0,FDFT1,2.1825945,1.0056523060736274e-108,NFAT5,2.7482722,2.5132203919440136e-140,S100A10,2.6019986,3.130766131845217e-179,ASNS,3.0000367,1.3696837057478175e-78,DSC2,4.5025797,2.390802805356664e-55
LCN2,2.3260221,0.0,GMNN,2.9194329,3.059432317109887e-203,NDUFA1,1.1480376,3.601177571352403e-196,IRF6,4.013828,0.0,PERP,1.6695936,0.0,SOX2,2.885238,4.830152459879103e-108,RAB44,7.3321705,1.1746294725544439e-139,GPX3,3.2636034,3.6305242461084916e-179,MT-ATP8,0.65466774,4.1391018928762195e-78,EIF4EBP1,3.4931898,9.50874936299196e-55
IL1R1,3.5842586,0.0,PDCD4,2.1813834,7.904904591231941e-203,MT-ND5,0.77230066,2.4130933655112637e-192,PRNP,3.921489,0.0,SLC1A5,3.9249907,0.0,CYB5A,1.9428681,5.4409567810479634e-107,C2,5.942948,4.636975174637742e-137,RPLP0,1.1094477,5.2003060984442885e-179,ANXA3,2.3044364,1.0032613244352122e-74,S100A14,2.2556527,1.1077583866055045e-54
LY6E,1.7125285,0.0,MKNK2,1.8237888,2.0876100340059177e-193,TSPAN1,1.8052369,1.4515318914268274e-180,APP,1.9945253,0.0,TNFRSF12A,4.362294,0.0,IDH1,2.002465,1.8801372088948495e-106,AC027117.2,4.271487,1.4796709368344146e-135,TXNDC17,2.0344682,5.800932144356837e-177,SAA2,2.4995487,1.2539331549641359e-73,CD109,4.019006,1.9591256322550794e-54
TMC5,3.5698144,0.0,HERC6,2.6054153,4.354679521646707e-193,CST3,0.8562723,1.5310013467687449e-177,TNFRSF12A,4.464492,0.0,ITGB6,4.703243,0.0,PLK2,2.1422288,5.894702934856114e-106,AFF4,2.1723828,9.651583691799055e-126,RPS4X,0.9346624,2.5438225499401376e-176,RPL12,0.7351265,2.3811235933619567e-73,LDHA,1.5843146,1.9573715191904922e-53
