0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
AK7,2.6933875,1.0046223901971696e-233,RPS15A,0.68076754,8.43843855412392e-62,H3F3B,0.43791062,5.840512903242753e-38,RPS5,1.0496821,3.159773939982545e-85,NETO2,4.5044265,3.8625881700411416e-97,NDUFA1,0.60739285,8.112342732073463e-27
C9orf24,2.2729511,8.542037496810878e-233,RPL37A,0.49325308,1.3686211505451874e-61,ATF3,1.7123646,7.275581834575675e-38,SLC38A2,3.0611544,1.8093129390271718e-84,TUBG1,3.5898414,7.705441239484929e-96,TOMM7,0.6878479,8.64092484495343e-27
STOML3,3.2367663,6.822443898668418e-232,RPS18,0.75553876,2.67523695755263e-61,FSTL1,1.8662248,2.763561642120617e-37,TUBB,2.2070973,2.8689149651503914e-84,BPIFB1,3.18029,2.1351662407399725e-94,EPSTI1,2.628562,9.227529298565953e-27
PLEKHB1,2.8072538,8.864273140352531e-231,TCN1,2.7378793,4.01823772008753e-61,TRIM47,2.3998728,5.406560545773653e-37,RPL27A,0.7794155,6.174412877871242e-84,PAQR4,5.1885295,1.8834943803421236e-93,CSTB,0.56554526,1.2024712567092217e-26
HSPH1,1.4745979,3.2590236396492454e-230,RPL10,0.66065776,7.430593917800783e-61,NFKBIA,1.740281,6.693638918386994e-37,GLUL,0.98518133,8.637780644330748e-84,DLGAP5,7.7770586,4.740649373249572e-93,IFITM1,2.6014357,4.644862872763137e-26
NWD1,3.4718812,1.5847039029607488e-229,RPLP1,0.52343667,1.0639034987876543e-60,SLC7A5,2.9156878,2.1880566476503848e-35,CEACAM6,3.6686234,7.92919200147899e-83,FOXJ1,2.1918485,9.146526563585345e-93,IFI16,0.93518907,5.307850746820371e-26
FAM166B,2.7408102,1.4226455813609346e-228,TMEM205,2.2400784,6.24936261258642e-60,PNPLA2,1.1425194,2.6804099331062947e-35,CNN2,1.8392229,1.5130871649291736e-82,MUC1,1.8699617,1.4083860358928227e-92,MT-ND4L,0.5553113,7.653716497124315e-26
WDR66,2.4275153,2.8324366094317254e-228,RPS4X,0.5922538,6.62728862938618e-60,SBDS,1.3455564,2.771192749008459e-35,WFDC2,1.3849103,1.5869876926054932e-82,ACTN1,2.0769444,1.61084376018893e-92,RPL27,0.655704,1.268061781630704e-25
DTHD1,3.0883882,1.1245367086794484e-227,RPL15,0.49749413,4.009378411766427e-59,RASEF,1.5985534,9.072868444936103e-35,BHLHE40,2.2429967,1.485507850947345e-81,POC1A,6.0022793,1.8307998817564422e-92,RPS24,0.4853917,2.6780434724461565e-25
TMC5,1.6385832,2.1491707134922343e-227,VMO1,2.645064,1.4519874146137889e-58,BBC3,2.7262406,1.3466375137742464e-34,ZYX,2.6483521,1.0503110408060828e-80,YWHAE,0.78110486,2.1866254243560737e-92,RPL27A,0.5178519,7.4382775649128e-25
TMEM231,2.6340282,5.6677179315494205e-226,RPL30,0.5766025,1.8195641687819675e-58,KRT8,0.5287935,1.5548109649224294e-34,CFL1,0.6558378,2.386062428865476e-80,GGH,4.3373294,2.680127169062571e-91,MT-ND2,0.55882096,1.1564962402414827e-24
AZIN1,1.6869141,4.333831929409792e-225,UQCRQ,0.62130755,8.838802432266841e-58,TGFB2,2.3091645,1.6192545872332749e-34,RPL6,0.6876213,7.187979317504866e-80,CENPF,5.363276,4.1705728686335296e-91,GABRB1,5.3564796,1.900598348570122e-24
ROPN1L,2.157195,6.072819988871823e-225,RDH11,1.7532873,2.1363262754597277e-57,LMNA,1.1296697,2.5704330278946473e-34,AKR1C2,2.7674754,1.710865574380759e-79,DPY19L1,3.4922478,7.534607131525935e-91,RPS12,0.7572944,1.9904958358370694e-24
C10orf95,3.0826707,4.310488487040982e-224,FOS,1.1999876,2.3001586347152444e-57,TPM4,0.87989986,3.2596835018064617e-34,CD63,0.89294404,6.186343820433598e-79,PTGES3,1.1423024,1.0894622684668737e-90,TNFSF10,0.8905797,3.312098270158872e-24
HSPBP1,2.223629,4.890606990722358e-224,DDIT4,1.9747522,2.4116828472354016e-57,FTH1,0.39936095,4.02047202949786e-34,S100P,2.944243,7.343273599824069e-79,MAD2L1,4.661085,3.924127353018707e-90,RPL31,0.47945866,4.139003873487731e-24
CABCOCO1,2.6408672,1.6877296786860057e-223,GABRP,2.2617657,6.035326860463783e-57,JUND,0.599787,5.775545085480662e-34,GAPDH,0.93156224,8.282661636792613e-79,RFC4,4.311264,2.452675872737322e-89,RPL35A,0.48159805,8.818526438337276e-24
EFHC1,2.0513227,4.8047688413843e-222,RPL27,0.64895433,6.287852806968889e-57,PXDC1,2.0078614,6.646827579539199e-34,SCNN1A,1.3876002,1.1851385336187353e-78,ST7,3.7062454,2.0248554783568698e-88,RPL19,0.4789679,3.3922152458907615e-23
METTL7A,2.2572062,5.247196263092019e-222,RPS3A,0.52767,6.594508003138234e-57,H1F0,1.3555776,1.218936680010768e-33,RPL32,0.8712275,2.163641472197983e-78,CCDC171,4.568581,8.58020701965993e-87,RPS4X,0.49826667,3.5346665601244303e-23
C1orf194,1.9221929,9.947606162491799e-222,NCCRP1,2.755904,7.049501065043468e-57,VIM,2.6838925,1.3211579231744359e-33,ARPC5,1.4391745,1.4401675657029502e-76,ACADVL,1.4661183,1.524713187696649e-86,SAP18,0.4917114,4.417303342335842e-23
C9orf116,1.9417831,1.6177992435545856e-221,RPL37,0.60879236,1.5145518767692207e-56,RIOK3,1.2551818,2.0470381703288924e-33,RPL37A,0.75178313,2.8111768858994806e-76,PRPS2,3.5724828,1.9892541393654673e-86,MTRNR2L12,0.7374825,1.021054360815193e-22
