0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
DHCR24,0.54333854,3.304998734680502e-135,B2M,0.3892541,5.311227675268989e-147,TUBB6,3.581529,0.0,BAX,0.77589375,5.599819071246037e-51,NDUFA4,0.45938614,3.8432726475243523e-91,TNFAIP2,1.6288526,1.228312834465796e-86,CALM2,0.72364664,1.1011068711039701e-67
SCEL,1.6825773,1.7091561986726903e-134,ERBB3,1.2555195,2.5885826198305976e-143,RPS21,0.83896697,0.0,S100A8,1.5198587,1.870987749080354e-50,CYP4X1,0.81168926,1.636639974237072e-86,LOXL2,2.5524943,1.3393690832519913e-85,TXN,0.76140213,6.588364643533021e-65
MT-ATP6,0.25154445,6.38817944696244e-132,B3GNT7,1.5050594,4.4677818598603887e-141,RPL35A,0.6674382,0.0,PDCD4,0.5505053,9.164975312733786e-50,ASAH1,0.46673805,2.0343065120446549e-81,CD59,0.61636674,3.3744153299487272e-84,PLEKHB2,1.1755801,2.7624602090201275e-63
S100A14,1.0014163,6.170307385150648e-131,HLA-DRB1,1.7495887,4.649497170297279e-140,FYB1,3.2495284,0.0,LAPTM4A,0.26393598,1.2375256464235524e-49,NR4A1,1.881817,3.0912319525747076e-81,CALR,0.41457304,7.638092479916407e-83,HES6,5.1930823,2.5632168428573677e-62
RPLP0,0.3149549,2.761089010768995e-130,CAMK1D,0.9637491,1.5334242528021964e-137,EEF1B2,0.86821204,0.0,UBE2H,0.43701386,2.2455461211812646e-49,ADH1C,2.0152283,2.220188394468696e-78,OSMR,1.8038526,9.053914150056899e-83,SRD5A1,2.6031675,2.4278603353107146e-61
MTRNR2L8,0.43798327,7.336454218824624e-130,HLA-C,0.53953904,9.220295740425205e-137,PDLIM1,1.3121271,0.0,SERPINB4,1.0885134,2.6529920257127954e-49,PPDPF,0.23765129,9.795416560082967e-76,FNDC3B,1.4855537,5.175561250930524e-82,KRT18,1.5715669,3.857361628261076e-61
RPS8,0.30771667,1.7989961096535773e-128,ATP1A1,0.58177406,4.85782618402901e-136,KRT6A,3.016102,0.0,VAMP8,0.22646862,3.934140314844169e-49,TSPAN13,0.82541037,2.7450421833170916e-75,PDZK1IP1,1.8921219,1.6242625944042711e-81,MRPS10,1.5033095,6.947708773794026e-61
CLINT1,0.56546175,1.368016800894461e-127,HLA-B,0.7791055,5.669667516272253e-134,CTSH,1.0150963,0.0,MT-CO3,0.14609618,1.3184308351310463e-48,TMEM59,0.2980335,6.06605099706205e-74,IL32,2.590525,4.43896932128794e-79,ASCL3,9.90897,9.696045826624845e-60
GSTA1,1.4485096,2.5810201626048223e-125,DDX17,0.5235656,1.3298581865716903e-133,RPL37,0.6673062,0.0,GSN,0.39723122,3.700520201437472e-48,CREB3L1,1.7312644,1.674830765853457e-73,PKM,0.26388982,2.6658936572992745e-77,ATP5F1B,0.51825935,1.0671657110837722e-58
ACAT2,2.0008008,6.557510705496937e-124,SELENBP1,1.4340318,9.212243549512396e-132,RPS3,0.6880033,0.0,LRG1,0.94238937,8.86344916446736e-48,VAMP8,0.29228243,3.7993335294046475e-73,APP,0.57599586,2.3634109874146675e-75,BIK,2.345006,2.052025186886506e-56
MTRNR2L12,0.4309118,2.772417159391591e-121,RBM47,1.0980964,2.9686324579660465e-131,MT1X,1.096206,0.0,MYH14,1.4029046,4.596712294567558e-47,ALOX15,1.5607039,3.087785987470945e-72,MYL6,0.2980787,1.3119688731685673e-74,HSPA8,0.63239706,2.621200827298057e-56
S100A9,0.9064663,9.164486457360276e-119,GNAQ,1.0085614,6.344706293158403e-131,RPL11,0.5682455,0.0,LCN2,0.589526,1.5313014746202168e-45,UBB,0.30917954,3.892148030640305e-72,FSTL1,2.1300912,1.8153917490643835e-74,MT-ATP6,0.35762236,3.381571307064858e-56
SELENBP1,1.3896431,1.9899498571404156e-117,RRBP1,1.0291543,1.2216376320229668e-130,RPL13,0.6552923,0.0,PDZK1IP1,1.2668524,2.0080218836042483e-45,TMBIM6,0.21070088,6.658588673195284e-71,JAG1,1.7282808,2.0542155764770587e-74,NGFR,4.974157,6.104409488314048e-56
GSTP1,0.3263098,1.631471703498885e-112,TXNIP,0.5346948,7.315489366586952e-130,TXNDC17,1.2142197,0.0,HIST1H1C,1.1127579,3.353545564301883e-44,TF,1.866006,1.5769390286470967e-69,CRABP2,0.71716493,8.252906847720448e-74,ASCL2,7.2148366,6.123893171829634e-55
RAPGEFL1,1.481687,1.746441571882769e-111,TFCP2L1,1.5299476,1.6769979031125876e-129,RPL38,0.68251956,0.0,TMBIM1,0.59989923,3.996286355543933e-44,FOS,0.66568315,4.118845485508483e-67,TFPI2,1.7254142,3.683176556556945e-72,ZMIZ1,2.2438502,1.9272721523779009e-54
MAN1C1,1.5601027,1.709882129272132e-110,RALGAPA2,1.3147188,1.0146256315333189e-126,RPL36,0.7446272,0.0,CSTB,0.30692416,2.7699088754488738e-43,JUND,0.46139652,9.516241031136326e-67,PTHLH,2.0718777,6.675758037547636e-72,SLC4A11,2.8294747,2.657089141086874e-54
RPS5,0.3583863,2.8541665037768805e-108,LCN2,0.8235214,2.140831036991232e-124,RPL9,0.54391855,0.0,ISYNA1,1.1332549,3.8962938754680854e-43,VMO1,1.7864954,2.3082350997953717e-64,CXCL16,1.0209461,1.1490638624745544e-71,NID1,4.136167,1.0447454305384856e-53
CHST9,1.0831391,9.623779336199305e-107,FAM107B,1.1433074,4.151191521404247e-123,AQP3,1.6304927,0.0,MT1X,0.43678337,1.6991661410367734e-42,VMP1,0.46222517,3.382616753421946e-64,NFKBIZ,1.6038247,2.3140702904464036e-71,H3F3A,0.3144868,2.776997580439008e-53
IDI1,1.5609801,4.552183795171495e-106,DHCR24,0.52764404,2.649943270563232e-122,RPS3A,0.64662385,0.0,CXCL17,0.36038584,3.7427098384298744e-42,ARHGDIB,1.1302888,7.528354686201205e-64,HSPA5,0.5118519,9.208887233003759e-71,REPIN1,2.099916,1.0646668592143159e-52
B4GALT4,1.3270626,8.197076747521374e-106,SLC15A2,1.2184817,7.555541186410111e-118,CPA4,4.4192185,0.0,TIMP2,1.1023833,1.838897320601671e-41,LYPD2,2.077925,1.0304253534183834e-63,MT2A,0.83877015,3.7309219428241905e-70,GSE1,2.5052536,1.6851131343675397e-52
DAPL1,1.7715507,1.6602148455416368e-105,PIP,1.7580583,8.331046862097367e-118,ENO1,0.74067175,0.0,TMED9,0.46482524,4.494583272847585e-39,STEAP4,1.5485722,2.9115991832173973e-63,LIMCH1,1.9684032,4.749994437792011e-70,INPP5B,3.9154074,1.3097375819855676e-51
RPL18,0.4363489,5.646728647575233e-104,GOLGB1,1.078192,1.4158536359164516e-117,PSAP,0.7808607,0.0,SEMA4B,0.55469817,7.924726092591554e-39,GOLM1,0.7598867,1.1855481630019931e-62,GALNT2,1.1818033,9.626216454950887e-70,RALA,1.5860916,2.3055676486568988e-51
CLDN8,1.9476224,1.718075046763844e-103,JUND,0.5607168,7.284584553474211e-117,RPL26,0.7884623,0.0,HBP1,0.8394084,8.026815300060208e-39,TMC5,1.2883179,1.4216705346807295e-61,PLAU,1.8343472,3.6268236698132658e-68,SKAP2,1.7738665,4.716003984848112e-51
RPL10,0.29092014,3.9109771163903016e-103,TRIM8,0.90182954,8.548251758854286e-116,PERP,0.6129841,0.0,TNFRSF21,0.42316756,1.1350815532296044e-38,RNASE1,1.9671748,1.7477916370391917e-61,LUCAT1,1.9865458,6.623744639596532e-67,PPIA,0.37314618,6.283466947599334e-51
PABPC1,0.23406118,8.280672513758198e-103,NFIA,1.1071085,1.5583790135770835e-115,CAMK2N1,1.7503206,0.0,EIF4A2,0.2912024,6.962750087695227e-38,TUBA1B,0.8806298,7.73333287564779e-60,CXCL2,1.9277238,6.624969634652499e-67,FKBP4,1.1555709,7.551406667705449e-50
RPL4,0.31096682,1.017263513355684e-102,FOXA1,0.83715844,2.35936213332258e-111,ITGB6,3.010723,0.0,RAB31,0.8331387,7.958431417586915e-38,PSME1,0.5078519,8.246650747241829e-60,ENC1,1.6751875,7.295305945784903e-67,HOTAIRM1,2.8553298,8.473237497920381e-49
PRDX1,0.40044138,1.1330932953936107e-101,ANTXR1,1.5401828,3.815996118139372e-111,RPL14,0.55506575,0.0,COMT,0.34371597,1.642433454061538e-37,SMIM31,1.8661442,1.929859104094406e-59,SLC6A14,1.3079615,9.033826055693133e-67,TFCP2L1,1.6194797,1.3107314117988777e-48
TPT1,0.21662925,1.648888886519435e-101,TOX3,2.1564963,2.148569499330522e-109,CCND2,2.9677784,0.0,ALDH1A3,0.474236,1.642433454061538e-37,GPX8,1.3336794,1.8734598939903543e-58,LEPROT,0.7887164,3.454476220768186e-66,DHRS7,1.0078938,2.385118466235819e-47
CLDN4,0.6565991,2.1386763415162863e-101,ZKSCAN1,1.0984933,8.652026066809336e-108,SERPINB13,2.6681838,0.0,SRD5A3,0.7938057,3.4567846356065284e-37,CCNO,1.487296,6.295865007977493e-58,ECE1,1.4868884,5.901683597366937e-66,PLCG2,4.4031544,6.293887742180506e-47
